,Name,new_lang,ISBN,Geocode,Adress,description
11,Een parel in Gods ogen,nl,9789020930504,"52.0806428, 5.142996100000005",Laan van Minsweerd 129 -130 Utrecht,No description is available
12,ELEMENTAIRE ECONOMIE 11E DR,nl,9789020718386,"52.0806428, 5.142996100000005",Laan van Minsweerd 129 -130 Utrecht,No description is available
13,De kraaien zullen het zeggen,nl,9789038849485,"52.0821527, 5.14310487901",Vossegatselaan 53 3583 RR Utrecht,No description is available
14,De vliegeraar (Dutch Edition),nl,9789023477327,"52.0821527, 5.14310487901",Vossegatselaan 53 3583 RR Utrecht,No description is available
15,"Het Verloren Paradijs, Stukje 2 (1792) (Dutch Edition)",nl,9781165335183,"52.0821527, 5.14310487901",Vossegatselaan 53 3583 RR Utrecht,"This scarce antiquarian book is a facsimile reprint of the original. Due to its age, it may contain imperfections such as marks, notations, marginalia and flawed pages. Because we believe this work is culturally important, we have made it available as part of our commitment for protecting, preserving, and promoting the world's literature in affordable, high quality, modern editions that are true to the original work."
16,Het andere eiland,nl,9789056721978,"52.0821527, 5.14310487901",Vossegatselaan 53 3583 RR Utrecht,No description is available
17,Mijn Ierse dochter,nan,9789044310757,"52.0821527, 5.14310487901",Vossegatselaan 53 3583 RR Utrecht,No description is available
18,Vader (Mijn strijd (Knausgard)) (Dutch Edition),nl,9789044517194,"52.0821527, 5.14310487901",Vossegatselaan 53 3583 RR Utrecht,No description is available
19,Een hart vol hommel(e)s (Dutch Edition),nl,9789402707205,"52.0821527, 5.14310487901",Vossegatselaan 53 3583 RR Utrecht,No description is available
20,Kiem: biografie van mijn jeugd,nl,9789045851723,"52.0821527, 5.14310487901",Vossegatselaan 53 3583 RR Utrecht,No description is available
21,De vuurtoren van Connemara,nl,9789022565094,"52.0821527, 5.14310487901",Vossegatselaan 53 3583 RR Utrecht,No description is available
22,Gebroken Vleugels: Take these broken wings and learn to fly again Learn to live so free,nl,9789055993611,"52.0821527, 5.14310487901",Vossegatselaan 53 3583 RR Utrecht,No description is available
23,De nachtwandelaar,nl,9789052266572,"52.0821527, 5.14310487901",Vossegatselaan 53 3583 RR Utrecht,No description is available
24,Verbonden: hechting & liefde,nl,9789089538758,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
25,Anton (Dutch Edition),nl,9789029088626,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
26,SIMON VESTDYK EN LAHRINGEN,nl,9789063220792,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
27,Meisje met negen pruiken,nl,9789044641639,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
28,Kookschrift van een kookgek 3 BRAAKHEKKE,nl,9789051215984,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
29,De schaduw van de wind (Het kerkhof der vergeten boeken),nl,9789056725198,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
30,WHITMAM AFFAIRE,nl,9789021837376,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
31,De verdwenen bedelarmband,nl,9789490374501,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
32,De valse belofte,nl,9789041408877,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
33,De maat genomen : topmannen langs de feministische meetlat,nl,9789063052287,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
34,In transit (Dutch Edition),nl,9789047707875,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
35,Philips: familie van ondernemers,nl,9789490920098,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
36,Naar huis,nl,9789022590430,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
37,De offerplaats,nl,9789021014708,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
38,"Career of Evil (A Cormoran Strike Novel, 3)",en,9780316486453,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht","<b>The #1 internationally bestselling series is soon to be a major TV series on HBO.</b> <br/>""The third--and best--novel in the engaging Cormoran Strike private detective series... [Galbraith has] invented a serial killer for the ages, one who chills us from the book's grim but riveting opening... This perfectly paced mystery is packed with surprises.""<i> - USA Today</i><i><br/></i>When a mysterious package is delivered to Robin Ellacott, she is horrified to discover that it contains a woman's severed leg. Her boss, private detective Cormoran Strike, is less surprised but no less alarmed. There are four people from his past who he thinks could be responsible--and Strike knows that any one of them is capable of sustained and unspeakable brutality.<br/>With the police focusing on one of the suspects, Strike and Robin delve into the dark and twisted worlds of the other three men. But as more horrendous acts occur, time is running out for the two of them..."
39,Vochtige streken,nl,9789023455325,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
40,Een nieuwe kans (Ploegsma kinder- & jeugdboeken),nl,9789021665320,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
41,Sprakeloos (De Wase trilogie),nl,9789044633412,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
42,Storm in juni,nl,9789044521696,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
43,Het lot van de familie Meijer,nl,9789056723606,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
44,Route du soleil (Dutch Edition),nl,9789400508477,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
45,"De stilte van de witte stad (Trilogie van de witte stad, 1)",nl,9789400511224,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
46,Tegendraads (Jack Reacher) (Dutch Edition),nl,9789024568956,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
47,"Veel vrouwen, af en toe een man (Dutch Edition)",nl,9789025409944,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",/ 90 254 0994 6 / Dutch literature / Nederlands / Dutch / Néerlandais / Niederländisch / paperback / 13 x 20 cm / 157 .
48,ALLEMAAL PSYCHISCH (PK),nl,9789067661409,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
49,De Vlinderjager,nl,9789044920000,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",Thriller - Een met veel vaart geschreven thriller met een door de Nazi's gestolen schilderij van Rembrandt en een geheimzinnige goudschat als inzet.
50,Een Romance,nan,9789061690207,"52.0845406, 5.145907299999976","Pieter Saenredamstraat 46, Utrecht",No description is available
51,Misery (Poema pocket),nl,9789024545490,"52.0873018, 5.1357689",Bankstraat 27 Utrecht,No description is available
52,The Complete Novels of Jane Austen (Leather-bound Classics),en,9781684129065,"52.0873018, 5.1357690",Bankstraat 27 Utrecht,"<b>This new, enhanced leather-bound edition includes all the completed novels of beloved author Jane Austen.</b><br/>  Jane Austens stories of clever women, elusive love, and social mores have struck a chord with millions of fans who consider her work compelling, heartwarming, and essential. Adapted time and again for screen and stage, these enduring classics remain as enjoyable as ever, and are the perfect addition to every home library. This collectors edition includes all six of Austens completed novels: <i>Sense and Sensibility</i>, <i>Pride and Prejudice</i>, <i>Mansfield Park</i>, <i>Emma</i>, <i>Northanger Abbey, </i><i>and </i><i>Persuasion</i>. New readers will be enchanted once they open the genuine leather cover, see the specially designed endpapers, and read these brilliant stories, while readers familiar with Austen's genius will enjoy the introduction from an acclaimed Austen scholar that provides background and context for the works theyve always loved."
53,De Gekrompene,nl,9789022935316,"52.0873018, 5.1357691",Bankstraat 27 Utrecht,No description is available
54,The Hunt for Red October,nl,9789022994351,"52.0873018, 5.1357693",Bankstraat 27 Utrecht,"The CIA and the Soviets are on the chase of a Soviet submarine through 4,000 miles of ocean. The officer of the Soviet's most valuable ballistic-missile sub is trying to defect to the U.S. It is a novel that will keep you on the end of your seat throughout. A true game of cat and mouse."
55,De bange mens: mijn zoektocht naar de bron van onze angsten,nl,9789045043685,"52.0873018, 5.1357697",Bankstraat 27 Utrecht,No description is available
56,Zemindar,en,9780552118095,"52.0873018, 5.1357699",Bankstraat 27 Utrecht,No description is available
57,SCHADUWEN GETHSEMANE ROSS/SJOWALL,nl,9789027456922,"52.0873018, 5.1357700",Bankstraat 27 Utrecht,No description is available
58,"Last Argument of Kings (The First Law Trilogy, 3)",en,9780316387408,"52.0873018, 5.1357702",Bankstraat 27 Utrecht,"<b>The final novel in the First Law Trilogy by<i> New York Times</i> bestseller Joe Abercrombie. </b> <b><br/></b>Logen Ninefingers might only have one more fight in him -- but it's going to be a big one. Battle rages across the North, the king of the Northmen still stands firm, and there's only one man who can stop him. His oldest friend, and his oldest enemy: it's time for the Bloody-Nine to come home. With too many masters and too little time, Superior Glokta is fighting a different kind of war. A secret struggle in which no one is safe, and no one can be trusted. As his days with a sword are far behind him, it's fortunate that he's deadly with his remaining weapons: blackmail, threats, and torture. Jezal dan Luthar has decided that winning glory is too painful an undertaking and turned his back on soldiering for a simple life with the woman he loves. But love can be painful too -- and glory has a nasty habit of creeping up on a man when he least expects it. The king of the Union lies on his deathbed, the peasants revolt, and the nobles scramble to steal his crown. No one believes that the shadow of war is about to fall across the heart of the Union. Only the First of the Magi can save the world, but there are risks. There is no risk more terrible, than to break the First Law..."
59,De diamant van Banjarmasin: Kinderboekenweekgeschenk 2020 (Kinderboekenweek 2020),nl,9789059655355,"52.0873018, 5.1357703",Bankstraat 27 Utrecht,No description is available
60,Van de zee naar de hemel: de culinaire odyssee van een Frans-Nederlandse chef-kok,nl,9789053339633,"52.0873018, 5.1357704",Bankstraat 27 Utrecht,No description is available
61,The Casual Vacancy,en,9780316228534,"52.0873018, 5.1357706",Bankstraat 27 Utrecht,"When Barry Fairbrother dies unexpectedly in his early forties, the little town of Pagford is left in shock. Pagford is, seemingly, an English idyll, with a cobbled market square and an ancient abbey, but what lies behind the pretty façade is a town at war. Rich at war with poor, teenagers at war with their parents, wives at war with their husbands, teachers at war with their pupils.... Pagford is not what it first seems. And the empty seat left by Barry on the towns council soon becomes the catalyst for the biggest war the town has yet seen. Who will triumph in an election fraught with passion, duplicity and unexpected revelations? Blackly comic, thought-provoking and constantly surprising, <i>The Casual Vacancy</i> is J.K. Rowlings first novel for adults."
62,Uit grootmoeders tijd (Dutch Edition),nl,9789075531039,"52.0873018, 5.1357707",Bankstraat 27 Utrecht,No description is available
63,De kip die over de soep vloog,nl,9789038894904,"52.0873018, 5.1357709",Bankstraat 27 Utrecht,No description is available
64,Taalbarrieres in de zorg: over tolkenbeleid en tolken met beleid,nl,9789023246244,"52.0873018, 5.1357710",Bankstraat 27 Utrecht,No description is available
65,Ik hoor muziek,nl,9789463045919,"52.0873018, 5.1357711",Bankstraat 27 Utrecht,No description is available
66,De juiste beslissingen nemen (In 30 minuten),nl,9789056411312,"52.0873018, 5.1357713",Bankstraat 27 Utrecht,No description is available
67,De diamant van Banjarmasin: Kinderboekenweekgeschenk 2020 (Kinderboekenweek 2020),nl,9789059655355,"52.0873018, 5.1357714",Bankstraat 27 Utrecht,No description is available
68,De scheids (Dutch Edition),nl,9789057596919,"52.0873018, 5.1357715",Bankstraat 27 Utrecht,No description is available
69,The Nest: A Novel,en,9781443464574,"52.0873018, 5.1357716",Bankstraat 27 Utrecht,No description is available
70,Spelen tot het donker wordt,nl,9789021414287,"52.0873018, 5.1357717",Bankstraat 27 Utrecht,No description is available
71,"ZO MOOI GEMAAKT: Een bewaarboekje voor jou, door jou, over jou (Dutch Edition)",nl,9789086011476,"52.0873018, 5.1357718",Bankstraat 27 Utrecht,No description is available
72,ELF SAMENZWEERDERS,nl,9789052267371,"52.0873018, 5.1357719",Bankstraat 27 Utrecht,No description is available
73,Wampie,nl,9789021490014,"52.0873018, 5.1357720",Bankstraat 27 Utrecht,No description is available
74,De glazen brug,nl,9789035131286,"52.0873018, 5.1357722",Bankstraat 27 Utrecht,No description is available
75,Rec.play,nl,9789000032303,"52.0873018, 5.1357724",Bankstraat 27 Utrecht,No description is available
76,Thraxas Book Ten: Thraxas and the Oracle (The Collected Thraxas),en,9781546574736,"52.0873018, 5.1357725",Bankstraat 27 Utrecht,"In the tenth book of the series, armies are gathering. It's time for Thraxas and Makri to march back towards Turai. Lisutaris is War Leader and she trusts Thraxas enough to make him her personal security officer. Captain Thraxas is given the difficult task of outwitting Deeziz the Unseen, the enemy's most powerful sorcerer. He could do with some help from Makri. Unfortunately Makri spends most of her time hiding from the Elf with whom she once had an unsatisfactory relationship. Thraxas is relieved to meet a few familiar faces, refugees from Turai, but as he tries to prevent Deeziz from ruining the war effort, he finds himself baffled, outmanoeuvred, and badly in need of beer."
77,Hannibal,nl,9789024547401,"52.0873018, 5.1357727",Bankstraat 27 Utrecht,No description is available
78,The Shining,en,9780307743657,"52.0873018, 5.1357728",Bankstraat 27 Utrecht,"<b>Before <i>Doctor Sleep, </i>there was <i>The Shining, </i>a classic of modern American horror from the undisputed master, Stephen King. </b><br/>Jack Torrances new job at the Overlook Hotel is the perfect chance for a fresh start. As the off-season caretaker at the atmospheric old hotel, hell have plenty of time to spend reconnecting with his family and working on his writing. But as the harsh winter weather sets in, the idyllic location feels ever more remote . . . and more sinister. And the only one to notice the strange and terrible forces gathering around the Overlook is Danny Torrance, a uniquely gifted five-year-old."
79,TUSSEN SCHEMER EN DAGERAAD,nl,9789024218035,"52.0873018, 5.1357731",Bankstraat 27 Utrecht,No description is available
80,Moll Flanders (Dutch Edition),nl,9789031501151,"52.0873018, 5.1357732",Bankstraat 27 Utrecht,No description is available
81,Elon Musk: hoe de topman van SpaceX en Tesla onze toekomst vormgeeft,nl,9789400507142,"52.0873018, 5.1357733",Bankstraat 27 Utrecht,No description is available
82,Wellink aan het woord,nl,9789023468585,"52.0873018, 5.1357734",Bankstraat 27 Utrecht,No description is available
83,My Dark Vanessa: A Novel,en,9780062976802,"52.0873018, 5.1357735",Bankstraat 27 Utrecht,"<p>A hard story to read and a harder one to put down . . . a well-constructed package of dynamite.Stephen King</strong>Exploring the psychological dynamics of the relationship between a precocious yet naïve teenage girl and her magnetic and manipulative teacher, a brilliant, all-consuming read that marks the explosive debut of an extraordinary new writer.</strong>2000. Bright, ambitious, and yearning for adulthood, fifteen-year-old Vanessa Wye becomes entangled in an affair with Jacob Strane, her magnetic and guileful forty-two-year-old English teacher. 2017. Amid the rising wave of allegations against powerful men, a reckoning is coming due. Strane has been accused of sexual abuse by a former student, who reaches out to Vanessa, and now Vanessa suddenly finds herself facing an impossible choice: remain silent, firm in the belief that her teenage self willingly engaged in this relationship, or redefine herself and the events of her past. But how can Vanessa reject her first love, the man who fundamentally transformed her and has been a persistent presence in her life? Is it possible that the man she loved as a teenagerand who professed to worship only hermay be far different from what she has always believed?Alternating between Vanessas present and her past, My Dark Vanessa juxtaposes memory and trauma with the breathless excitement of a teenage girl discovering the power her own body can wield. Thought-provoking and impossible to put down, this is a masterful portrayal of troubled adolescence and its repercussions that raises vital questions about agency, consent, complicity, and victimhood. Written with the haunting intimacy of The Girls and the creeping intensity of Room, My Dark Vanessa is an era-defining novel that brilliantly captures and reflects the shifting cultural mores transforming our relationships and society itself."
84,Mannen die vrouwen haten,nl,9789056723088,"52.0873018, 5.1357737",Bankstraat 27 Utrecht,Some shelf and edge wear. Creasing to cover and some pages. Pages are clean and binding is tight.
85,The Lighthouse,en,9780571355723,"52.0873018, 5.1357738",Bankstraat 27 Utrecht,No description is available
86,How to Be Single,en,9781471146633,"52.0873018, 5.1357739",Bankstraat 27 Utrecht,"It's the most annoying question and they just can't help asking you. You'll be asked it at family gatherings, particularly weddings. Men will ask you on first dates. Therapists will ask you over and over again. It's the question that has no good answer. It's the question that when people stop asking it, makes you feel even worse: WHY ARE YOU SINGLE? 'A DELICIOUS FEAST OF A FIRST NOVEL..."
87,De eetclub (Dutch Edition),nl,9789041424426,"52.0873018, 5.1357740",Bankstraat 27 Utrecht,"De eetclub (Dutch Edition) [paperback] Noort, Saskia [Mar 28, 2013] ..."
88,Total Yoga: A Step-by-Step Guide to Yoga at Home for Everybody,en,9780007612604,"52.0914583, 5.1315992",Nachtegaalstraat 61 Utrecht,"The perfect introduction to yoga, from a leading teacher who shows how yoga can benefit everyone, no matter what your level of fitness or suppleness."
89,Get Carter,en,9780749001216,"52.0914583, 5.1315993",Nachtegaalstraat 61 Utrecht,"Doncaster, and Jack Carter is home for a funeral - his brother's. Frank's car was found at the bottom of a cliff, with him inside. Jack thinks that Frank's death is suspicious, so he decides to talk to a few people. Frank was a mild man and did as he was told, but Jack's not a bit like that."
90,Game Theory: A Very Short Introduction,en,9780199218462,"52.0914583, 5.1315994",Nachtegaalstraat 61 Utrecht,"Games are everywhere: Drivers maneuvering in heavy traffic are playing a driving game. Bargain hunters bidding on eBay are playing an auctioning game. The supermarket's price for corn flakes is decided by playing an economic game. This Very Short Introduction offers a succinct tour of the fascinating world of game theory, a ground-breaking field that analyzes how to play games in a rational way. Ken Binmore, a renowned game theorist, explains the theory in a way that is both entertaining and non-mathematical yet also deeply insightful, revealing how game theory can shed light on everything from social gatherings, to ethical decision-making, to successful card-playing strategies, to calculating the sex ratio among bees. With mini-biographies of many fascinating, and occasionally eccentric, founders of the subject--including John Nash, subject of the movie A Beautiful Mind--this book offers a concise overview of a cutting-edge field that has seen spectacular successes in evolutionary biology and economics, and is beginning to revolutionize other disciplines from psychology to political science.About the Series:</strong> Oxford's Very Short Introductions</strong> offers concise and original introductions to a wide range of subjects--from Islam to Sociology, Politics to Classics, and Literary Theory to History. Not simply a textbook of definitions, each volume provides trenchant and provocative--yet always balanced and complete--discussions of the central issues in a given topic. Every Very Short Introduction gives a readable evolution of the subject in question, demonstrating how it has developed and influenced society. Whatever the area of study, whatever the topic that fascinates the reader, the series has a handy and affordable guide that will likely prove indispensable."
91,Europa volgens Maarten van Rossem,nl,9789046812860,"52.0914583, 5.1315995",Nachtegaalstraat 61 Utrecht,No description is available
92,IV,nl,9789057598180,"52.0914583, 5.1315996",Nachtegaalstraat 61 Utrecht,No description is available
93,Bridget Jones: The Edge of Reason: A Novel,en,9780140298475,"52.0914583, 5.1315997",Nachtegaalstraat 61 Utrecht,"With another devastatingly hilarious, ridiculous, unnervingly accurate take on modern womanhood, Bridget Jones is back. (v.g.)<p><b>Monday 27 January</b><b>""7:15 a.m. Hurrah! The wilderness years are over. For four weeks and five days now have been in functional relationship with adult male, thereby proving am not love pariah as recently feared.""</b><b>Wednesday 5 March</b><b>""7:08 p.m. Am assured, receptive, responsive woman of substance. My sense of self comes not from other people but . . .from . . .myself? That can't be right.""</b>Lurching from the cappuccino bars of Notting Hill to the blissed-out shores of Thailand, everyone's favorite Singleton Bridget Jones begins her search for The Truth in spite of pathetically unevolved men, insane dating theories, and Smug Married advice. She experiences a zeitgeist-esque Spiritual Epiphany somewhere between the pages of How to Find the Love You Want Without Seeking It (can self-help books really help self?), protective custody, and a lightly chilled Chardonnay."
94,"Dirt: Adventures in Lyon as a Chef in Training, Father, and Sleuth Looking for the Secret of French Cooking",en,9780307271013,"52.0914583, 5.1315998",Nachtegaalstraat 61 Utrecht,No description is available
95,De engelenmaker,nl,9789045014951,"52.0914583, 5.1315999",Nachtegaalstraat 61 Utrecht,No description is available
96,Het woeden der gehele wereld: roman,nl,9789029563871,"52.0914583, 5.1316000",Nachtegaalstraat 61 Utrecht,No description is available
97,Single of dubbel,nl,9789022552575,"52.0914583, 5.1316001",Nachtegaalstraat 61 Utrecht,No description is available
98,Hart voor je brein: over beweging en voeding voor hart en hersenen,nl,9789025312688,"52.0914583, 5.1316002",Nachtegaalstraat 61 Utrecht,No description is available
99,Wat wij zagen,nl,9789059655447,"52.0914583, 5.1316003",Nachtegaalstraat 61 Utrecht,No description is available
100,Het Theater De Brief En De Waarheid (Dutch Edition),nl,9789074336994,"52.0914583, 5.1316004",Nachtegaalstraat 61 Utrecht,boekenweek 2000 / / Book week gift / Nederlands / Dutch / Néerlandais / Niederländisch / hard cover / 12 x 20 cm / 85 .
101,De kraai,nl,9789059651234,"52.0914583, 5.1316005",Nachtegaalstraat 61 Utrecht,No description is available
102,Studio Zes,nl,9789044512960,"52.0914583, 5.1316006",Nachtegaalstraat 61 Utrecht,No description is available
103,Strijd in het vrouwenpeloton (Dutch Edition),nl,9789043916141,"52.0914583, 5.1316007",Nachtegaalstraat 61 Utrecht,No description is available
104,Een aquarel van de tijd: Herinneringen en dagboekbladen,nl,9789045002095,"52.0914583, 5.1316008",Nachtegaalstraat 61 Utrecht,No description is available
105,ZUSSEN,nl,9789022550779,"52.0914583, 5.1316009",Nachtegaalstraat 61 Utrecht,No description is available
106,Voodoo-marketing: De geheime trucs om consumenten te verleiden (Dutch Edition),nl,9789491560965,"52.0914583, 5.1316010",Nachtegaalstraat 61 Utrecht,No description is available
107,Kaas en de evolutietheorie,nl,9789025425401,"52.0914583, 5.1316011",Nachtegaalstraat 61 Utrecht,No description is available
108,De rookspringer,nan,9789051085907,"52.0914583, 5.1316012",Nachtegaalstraat 61 Utrecht,/ 9789051085907 / Novels / Nederlands / Dutch / Néerlandais / Niederländisch / hard cover / dust jacket / 14 x 22 cm / 411 .
109,De vrouw in de kooi,nl,9789044640717,"52.0914583, 5.1316014",Nachtegaalstraat 61 Utrecht,No description is available
110,"De Drakentroon (Heugenis, Smart en het Sterrenzwaard, #1)",nl,9789024534807,"52.0914583, 5.1316016",Nachtegaalstraat 61 Utrecht,No description is available
111,Ping Li en zijn vlieger,nl,9789056373795,"52.0914583, 5.1316017",Nachtegaalstraat 61 Utrecht,No description is available
112,Een winter vol verhalen,nl,9789463821261,"52.0914583, 5.1316018",Nachtegaalstraat 61 Utrecht,No description is available
113,Seks of solo,nan,9789061122920,"52.0914583, 5.1316019",Nachtegaalstraat 61 Utrecht,/ 9789061122920 / Novels / Nederlands / Dutch / Néerlandais / Niederländisch / paperback / 14 x 22 cm / 239 .
114,Hoe hot is cool? (Dutch Edition),nl,9789061120988,"52.0914583, 5.1316020",Nachtegaalstraat 61 Utrecht,No description is available
115,De hufter op het witte paard,nl,9789022986851,"52.0914583, 5.1316021",Nachtegaalstraat 61 Utrecht,No description is available
116,Lust of last?,nl,9789061120889,"52.0914583, 5.1316025",Nachtegaalstraat 61 Utrecht,No description is available
117,Ik moet je iets vertellen (Dutch Edition),nl,9789044342031,"52.0914583, 5.1316026",Nachtegaalstraat 61 Utrecht,No description is available
118,LAAT MIJ MAAR EVEN,nl,9789085641889,"52.0914583, 5.1316027",Nachtegaalstraat 61 Utrecht,No description is available
119,Bedonderd,nl,9789044322149,"52.0914583, 5.1316028",Nachtegaalstraat 61 Utrecht,No description is available
120,Echt verliefd!,nl,9789044350869,"52.0914583, 5.1316029",Nachtegaalstraat 61 Utrecht,No description is available
121,Japanese crafts,en,9780442259860,"52.0914583, 5.1316030",Nachtegaalstraat 61 Utrecht,"A brief insight into the manufacturing processes of a couple of mostly Kyoto-based craftsmen. A foreign craftsman is covered but Japanese skilfulness and process is the main concern. The book has lots of step-by-step images and aims to allow people to attempt some of these arts at home. Good luck with that shakuhachi. While only an overview, Lowe's book provides a lovely snap of some disappearing industries."
122,Brave Meiden,nl,9789044314205,"52.0914583, 5.1316031",Nachtegaalstraat 61 Utrecht,No description is available
123,The Three Musketeers (Wordsworth Classics),en,9781853260407,"52.0914583, 5.1316033",Nachtegaalstraat 61 Utrecht,"Introduction and Notes by Keith Wren, University of Kent at Canterbury A historical romance, The Three Musketeers tells the story of the early adventures of the young Gascon gentleman, D'Artagnan and his three friends from the regiment of the King's Musketeers - Athos, Porthos and Aramis. Under the watchful eye of their patron M. de Treville, the four defend the honour of the regiment against the guards of Cardinal Richelieu, and the honour of the queen against the machinations of the Cardinal himself as the power struggles of seventeenth century France are vividly played out in the background."
124,The Thin Man,en,9780679722632,"52.0914583, 5.1316034",Nachtegaalstraat 61 Utrecht,"In Dashiell Hammett's famous crime novel, we meet one of the detective-story master's most enchanting creations, Nick and Nora Charles, a rich, glamorous couple who solve homicides in between wisecracks and martinis. At once knowing and unabashedly romantic, <b>The Thin Man</b> is a classic murder mystery that doubles as a sophisticated comedy of manners."
125,VOOR MIJN VRIENDIN,nl,9789044319293,"52.0914583, 5.1316036",Nachtegaalstraat 61 Utrecht,No description is available
126,Het Graf,nl,9789059650022,"52.0914583, 5.1316037",Nachtegaalstraat 61 Utrecht,No description is available
127,Portret van een man (Dutch Edition),nl,9789029091237,"52.0914583, 5.1316039",Nachtegaalstraat 61 Utrecht,No description is available
